,loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batchSize,config/decode_hidden,config/epochs,config/hidden,config/kld,config/lr,logdir
3,0.0230024605989456,12.476178169250488,False,10,e6a02_00004,2023-06-23_16-39-18,1687556358,212.5135633945465,3970441,cse-stmi-s1.cse.tamu.edu,10.55.161.38,212.5135633945465,10,8,128,10,128,1e-05,0.0005,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00004_4_lr=0.0005_2023-06-23_16-35-40
14,0.0230024605989456,12.423213005065918,False,10,e6a02_00016,2023-06-23_16-46-08,1687556768,205.23399758338928,3970444,cse-stmi-s1.cse.tamu.edu,10.55.161.38,205.23399758338928,10,8,128,10,128,1e-05,0.0005,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00016_16_lr=0.0005_2023-06-23_16-35-41
2,0.0254350304603576,12.114511966705322,False,10,e6a02_00003,2023-06-23_16-39-21,1687556361,216.0440068244934,3970440,cse-stmi-s1.cse.tamu.edu,10.55.161.38,216.0440068244934,10,8,128,10,128,1e-05,0.001,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00003_3_lr=0.0010_2023-06-23_16-35-40
13,0.0254350304603576,11.77537441253662,False,10,e6a02_00015,2023-06-23_16-42-55,1687556575,213.0781095027924,3970440,cse-stmi-s1.cse.tamu.edu,10.55.161.38,213.0781095027924,10,8,128,10,128,1e-05,0.001,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00015_15_lr=0.0010_2023-06-23_16-35-41
4,0.0311576481908559,12.368288278579712,False,5,e6a02_00005,2023-06-23_16-38-14,1687556294,148.78153443336487,3970442,cse-stmi-s1.cse.tamu.edu,10.55.161.38,148.78153443336487,5,8,128,10,128,1e-05,0.0001,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00005_5_lr=0.0001_2023-06-23_16-35-40
15,0.0311576481908559,12.495994329452516,False,5,e6a02_00017,2023-06-23_16-45-09,1687556709,145.57528972625732,3970438,cse-stmi-s1.cse.tamu.edu,10.55.161.38,145.57528972625732,5,8,128,10,128,1e-05,0.0001,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00017_17_lr=0.0001_2023-06-23_16-35-41
5,0.0376108512282371,12.19107961654663,False,5,e6a02_00006,2023-06-23_16-38-16,1687556296,150.24782872200012,3970443,cse-stmi-s1.cse.tamu.edu,10.55.161.38,150.24782872200012,5,8,128,10,128,1e-05,5e-05,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00006_6_lr=0.0001_2023-06-23_16-35-40
16,0.0376108512282371,12.465370178222656,False,5,e6a02_00018,2023-06-23_16-45-11,1687556711,147.37552738189697,3970442,cse-stmi-s1.cse.tamu.edu,10.55.161.38,147.37552738189697,5,8,128,10,128,1e-05,5e-05,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00018_18_lr=0.0001_2023-06-23_16-35-41
6,0.0637755244970321,12.521579504013062,False,7,e6a02_00007,2023-06-23_16-38-39,1687556319,173.82315278053284,3970444,cse-stmi-s1.cse.tamu.edu,10.55.161.38,173.82315278053284,7,8,128,10,128,1e-05,1e-05,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00007_7_lr=0.0000_2023-06-23_16-35-40
17,0.0637755244970321,12.556492805480955,False,7,e6a02_00019,2023-06-23_16-45-37,1687556737,170.86345434188843,3970441,cse-stmi-s1.cse.tamu.edu,10.55.161.38,170.86345434188843,7,8,128,10,128,1e-05,1e-05,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00019_19_lr=0.0000_2023-06-23_16-35-41
18,0.0732544437050819,12.286426305770874,False,7,e6a02_00020,2023-06-23_16-45-36,1687556736,169.85258722305298,3970439,cse-stmi-s1.cse.tamu.edu,10.55.161.38,169.85258722305298,7,8,128,10,128,1e-05,5e-06,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00020_20_lr=0.0000_2023-06-23_16-35-41
7,0.0732544437050819,12.279568433761597,False,7,e6a02_00008,2023-06-23_16-42-06,1687556526,171.4589262008667,3970442,cse-stmi-s1.cse.tamu.edu,10.55.161.38,171.4589262008667,7,8,128,10,128,1e-05,5e-06,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00008_8_lr=0.0000_2023-06-23_16-35-40
1,0.0795376449823379,12.828924894332886,False,7,e6a02_00002,2023-06-23_16-38-41,1687556321,175.9358901977539,3970439,cse-stmi-s1.cse.tamu.edu,10.55.161.38,175.9358901977539,7,8,128,10,128,1e-05,0.01,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00002_2_lr=0.0100_2023-06-23_16-35-40
12,0.0795376449823379,12.491352558135986,False,7,e6a02_00014,2023-06-23_16-42-09,1687556529,169.29968404769895,3970439,cse-stmi-s1.cse.tamu.edu,10.55.161.38,169.29968404769895,7,8,128,10,128,1e-05,0.01,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00014_14_lr=0.0100_2023-06-23_16-35-41
8,0.0835334882140159,12.365607023239136,False,7,e6a02_00009,2023-06-23_16-42-06,1687556526,169.53344988822937,3970438,cse-stmi-s1.cse.tamu.edu,10.55.161.38,169.53344988822937,7,8,128,10,128,1e-05,1e-06,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00009_9_lr=0.0000_2023-06-23_16-35-40
19,0.0835334882140159,12.58690619468689,False,7,e6a02_00021,2023-06-23_16-45-38,1687556738,171.4915885925293,3970437,cse-stmi-s1.cse.tamu.edu,10.55.161.38,171.4915885925293,7,8,128,10,128,1e-05,1e-06,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00021_21_lr=0.0000_2023-06-23_16-35-41
9,0.0941649749875068,95.23325085639954,False,1,e6a02_00010,2023-06-23_16-40-52,1687556452,95.23325085639954,3970444,cse-stmi-s1.cse.tamu.edu,10.55.161.38,95.23325085639954,1,8,128,10,128,1e-05,5e-07,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00010_10_lr=0.0000_2023-06-23_16-35-40
20,0.0941649749875068,97.56789493560792,False,1,e6a02_00022,2023-06-23_16-44-25,1687556665,97.56789493560792,3970443,cse-stmi-s1.cse.tamu.edu,10.55.161.38,97.56789493560792,1,8,128,10,128,1e-05,5e-07,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00022_22_lr=0.0000_2023-06-23_16-35-41
10,0.095308594405651,94.90195846557616,False,1,e6a02_00011,2023-06-23_16-40-52,1687556452,94.90195846557616,3970437,cse-stmi-s1.cse.tamu.edu,10.55.161.38,94.90195846557616,1,8,128,10,128,1e-05,1e-07,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00011_11_lr=0.0000_2023-06-23_16-35-41
21,0.095308594405651,101.17171621322632,False,1,e6a02_00023,2023-06-23_16-44-36,1687556676,101.17171621322632,3970440,cse-stmi-s1.cse.tamu.edu,10.55.161.38,101.17171621322632,1,8,128,10,128,1e-05,1e-07,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00023_23_lr=0.0000_2023-06-23_16-35-41
11,0.2857409119606018,12.546016931533812,False,4,e6a02_00013,2023-06-23_16-41-33,1687556493,135.41880249977112,3970443,cse-stmi-s1.cse.tamu.edu,10.55.161.38,135.41880249977112,4,8,128,10,128,1e-05,0.1,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00013_13_lr=0.1000_2023-06-23_16-35-41
0,0.2857409119606018,12.94718885421753,False,4,e6a02_00001,2023-06-23_16-38-02,1687556282,136.61575746536255,3970437,cse-stmi-s1.cse.tamu.edu,10.55.161.38,136.61575746536255,4,8,128,10,128,1e-05,0.1,/home/ugrads/b/brianwin/ray_results/train_2023-06-23_16-35-37/train_e6a02_00001_1_lr=0.1000_2023-06-23_16-35-40
